,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Volver a pedir,Verificacion katy,ID de inventario,Marca,Nombre,Descripción ,Tamaño,"Cantidad 
en existencias",Costo de compra ,Taxes ,Precio de importación ,Valor total x unidad,Valor general de mercadería disponible,Precio venta Perú x unidad dolares,Precio de venta peru x unidad en soles,Precio del mercado,,Ganancias x unidad,Ganancia del total de unidades
C,K,IN0001,One size,Pack Mattifying waterproof,Paquete de 2 productos x 3.4 oz x 1.0 oz,1x 543ml y 1x 46ml,9,$34.00 ,$2.60 ,$1.60 ,$38.20 ,$343.80 ,$65.71 ,S/ 230.00,S/ 270.00,,$27.51 ,$247.63 
C,K,IN0002,One size,Mini Mattifying waterproof,Mini fijador,46ml,2,$11.00 ,$3.36 ,$1.60 ,$15.96 ,$31.92 ,$28.57 ,S/ 100.00,S/ 115.00,,$12.61 ,$25.22 
C,K-,IN0003,One size,Ultímate setting powder ,Polvo translucent,34.5g ,1,$23.00 ,$1.68 ,$1.60 ,$26.28 ,$26.28 ,$44.29 ,S/ 155.00,S/ 185.00,,$18.01 ,$18.01 
C,K,IN0004,One size,Ultímate setting powder ,Polvo ultrapink ,34.5g ,1,$23.00 ,$1.68 ,$1.60 ,$26.28 ,$26.28 ,$44.29 ,S/ 155.00,S/ 185.00,,$18.01 ,$18.01 
C,K,IN0005,One size,Pack mini  setting powder ,Pack mini de translucent y ultrapink ,2x 6.5g,4,$21.72 ,$2.29 ,$1.60 ,$25.61 ,$102.44 ,$42.86 ,S/ 150.00,S/ 290.00,,$17.25 ,$68.99 
C,K,IN0006,One size,Seure Primer mattifying,Primer para asegurar el sudor full size,30ml,2,$22.00 ,$1.68 ,$1.60 ,$25.28 ,$50.56 ,$50.00 ,S/ 175.00,S/ 250.00,,$24.72 ,$49.44 
C,K,IN0007,One size,Líquido eyeliner waterproof,Delineador fino color negro REGALO,1.2ml,4,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$6.40 ,$20.00 ,S/ 70.00,,,$18.40 ,$73.60 
C,,IN0008,One size,Cosmetiquera one size,Bolso rojo REGALO,,2,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$3.20 ,$7.14 ,S/ 25.00,,,$5.54 ,$11.09 
C,,IN0009,One size,Ultímate puff ,Esponja one size REGALO,,3,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$4.80 ,$8.57 ,S/ 30.00,,,$6.97 ,$20.91 
C,K,IN0010,One size,B12 base thinner,Serum mixing médium REGALO,30ml,2,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$3.20 ,$40.00 ,S/ 140.00,,,$38.40 ,$76.80 
C,K,IN0011,One size,Bronze y sculpt trio,Color medium trio,3x 3.5g,4,$15.20 ,$1.31 ,$1.60 ,$18.11 ,$72.44 ,$42.86 ,S/ 150.00,,,$24.75 ,$98.99 
C,K,IN0012,One size,3d blush trio,Color gworly pop,4g + 2x 3.5g,1,$23.94 ,$1.31 ,$1.60 ,$26.85 ,$26.85 ,$57.14 ,S/ 200.00,,,$30.29 ,$30.29 
,K,IN0013,Maybelline,Labial matte ink ,Color 20 pioneer,5ml,4,$6.60 ,$1.50 ,$1.60 ,$9.70 ,$38.80 ,$14.29 ,S/ 50.00,,,$4.59 ,$18.34 
,K,IN0014,Maybelline,Labial matte ink ,Color 65 seductress ,5ml,4,$6.60 ,$1.50 ,$1.60 ,$9.70 ,$38.80 ,$14.29 ,S/ 50.00,,,$4.59 ,$18.34 
,K,IN0015,Maybelline,Labial matte ink ,Color 15 lover,5ml,4,$6.60 ,$1.50 ,$1.60 ,$9.70 ,$38.80 ,$14.29 ,S/ 50.00,,,$4.59 ,$18.34 
,K,IN0016,Anastasia,Pucker Up líp trío,"Pack de 3 , color dusty rose","3g , 3.5g , 1.14g",1,$28.00 ,$2.50 ,$1.60 ,$32.10 ,$32.10 ,$61.43 ,S/ 215.00,,,$29.33 ,$29.33 
,K,IN0017,Anastasia,Pucker Up líp trío,"Pack de 3 , color hush pink","3g , 3.5g , 1.14g",1,$28.00 ,$2.50 ,$1.60 ,$32.10 ,$32.10 ,$64.29 ,S/ 225.00,,,$32.19 ,$32.19 
C,K,IN0018,Anastasia,Labial lip velvet textura mousse,Color Paule mauve ,3.5g,1,$18.00 ,$1.62 ,$1.60 ,$21.22 ,$21.22 ,$35.71 ,S/ 125.00,,,$14.49 ,$14.49 
C,K,IN0019,Anastasia,Labial lip velvet textura mousse,Color Paule mauve ,3.5g,1,$19.30 ,$2.50 ,$1.60 ,$23.40 ,$23.40 ,$35.71 ,S/ 125.00,,,$12.31 ,$12.31 
C,K,IN0020,Anastasia,Labial lip velvet textura mousse,Color pomegranate,3.5g,1,$19.30 ,$2.50 ,$1.60 ,$23.40 ,$23.40 ,$35.71 ,S/ 125.00,,,$12.31 ,$12.31 
C,K,IN0021,Anastasia,Labial lip velvet textura mousse,Color Rosy mauve ,3.5g,1,$19.30 ,$2.50 ,$1.60 ,$23.40 ,$23.40 ,$35.71 ,S/ 125.00,,,$12.31 ,$12.31 
C,K,IN0022,Anastasia,Labial lip velvet textura mousse,Color hush rose ,3.5g,1,$18.00 ,$1.62 ,$1.60 ,$21.22 ,$21.22 ,$35.71 ,S/ 125.00,,,$14.49 ,$14.49 
C,K,IN0023,Anastasia,Labial lip velvet textura mousse,Color softy ,3.5g,1,$18.00 ,$1.62 ,$1.60 ,$21.22 ,$21.22 ,$35.71 ,S/ 125.00,,,$14.49 ,$14.49 
C,K,IN0024,Anastasia,Labial lip velvet textura mousse,Color crush ,3.5g,1,$18.00 ,$1.62 ,$1.60 ,$21.22 ,$21.22 ,$35.71 ,S/ 125.00,,,$14.49 ,$14.49 
,K,IN0025,Anastasia,Shimmer body oil ,Color whithe REGALO,45ml,2,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$3.20 ,$51.43 ,S/ 180.00,,,$49.83 ,$99.66 
,K,IN0026,Nyx ,Fat Oil lip,Color miseed call ,4.8ml,3,$7.50 ,$1.55 ,$1.60 ,$10.65 ,$31.95 ,$15.71 ,S/ 55.00,,,$5.06 ,$15.19 
